name,color,price,preSalePrice,link
Reversable Jacquard Beanie,Winter Teal/Slate Blue,18.2,26.0,https://us.shop.gymshark.com/products/gymshark-reversable-jacquard-beanie-winter-teal-slate-blue-aw22
Sharkhead Cap,Iguana Green,26.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-cap-iguana-green-aw22
Sharkhead Cap,Navy,26.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-cap-navy-aw22
X-Series Toiletry Bag,Core Olive,19.2,24.0,https://us.shop.gymshark.com/products/gymshark-x-series-wash-bag-core-olive-aw22
X-Series 0.3 Backpack,Mercury Purple,64.0,,https://us.shop.gymshark.com/products/gymshark-x-series-bag-0-3-mercury-purple-aw22
Sharkhead Beanie,Sweet Pink,20.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-beanie-sweet-pink-aw22
Pom Beanie,Pebble Grey/White,15.6,26.0,https://us.shop.gymshark.com/products/gymshark-pom-beanie-pebble-grey-white-aw22
Studio Mat,Hibiscus Pink,54.4,68.0,https://us.shop.gymshark.com/products/gymshark-studio-mat-hibiscus-pink
X-Series Bag 0.1,Black,46.0,,https://us.shop.gymshark.com/products/gymshark-x-series-bag-0-1-black-aw22
Sharkhead Beanie,Black,20.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-beanie-black-aw22
Premium Jacquard Single Socks,White/Magenta Pink,12.0,,https://us.shop.gymshark.com/products/gymshark-premium-jacquard-single-socks-white-magenta-pink-aw22
X-Series Toiletry Bag,Mercury Purple,19.2,24.0,https://us.shop.gymshark.com/products/gymshark-x-series-wash-bag-mercury-purple-aw22
Phone Strap,Black,12.8,16.0,https://us.shop.gymshark.com/products/gymshark-phone-strap-black-aw21
Sharkhead Beanie,Moss Olive,20.0,,https://us.shop.gymshark.com/products/gymshark-sharkhead-beanie-moss-olive-aw22
Wrap Lifting Gloves,Black,26.0,,https://us.shop.gymshark.com/products/gymshark-wrap-lifting-gloves-black-aw21
Everyday Mini Backpack,Chilli Red,30.0,,https://us.shop.gymshark.com/products/gymshark-everyday-mini-backpack-chilli-red-aw22
Gymshark//Steve Cook Headband,Turquoise,5.6,14.0,https://us.shop.gymshark.com/products/gymshark-x-steve-cook-headband-turquoise-ss22
Mesh Trucker,Black,30.0,,https://us.shop.gymshark.com/products/gymshark-mesh-trucker-black-aw22
Flip Straw Water Bottle,Magenta Pink,22.0,,https://us.shop.gymshark.com/products/gymshark-insulated-straw-flask-magenta-pink-aw22
