,Name,Color,Price,Pre Sale Price,Link
58,Sport Shorts,Onyx Grey,38.0,,https://us.shop.gymshark.com/products/gymshark-sport-shorts-onyx-grey-print-ss23
59,Sport Shorts,Toasted Brown/Silhouette Grey,38.0,,https://us.shop.gymshark.com/products/gymshark-sport-shorts-toasted-brown-silhouette-grey-ss23
60,Sport Shorts,Persimmon Red/Silhouette Grey,38.0,,https://us.shop.gymshark.com/products/gymshark-sport-shorts-persimmon-red-silhouette-grey-ss23
61,Sport Shorts,Evening Blue/Drift Grey,38.0,,https://us.shop.gymshark.com/products/gymshark-sport-shorts-evening-blue-drift-grey-ss23
62,"Sport 5"" 2 In 1 Shorts",Willow Green/Desert Sage Green,42.0,,https://us.shop.gymshark.com/products/gymshark-sport-5-2-in-1-shorts-willow-green-desert-sage-green-ss23
63,"Sport 5"" 2 In 1 Shorts",Willow Green/Black,42.0,,https://us.shop.gymshark.com/products/gymshark-sport-5-2-in-1-shorts-willow-green-black-print-ss23
64,Legacy Short Sleeve Cropped Hoodie,Black,38.0,,https://us.shop.gymshark.com/products/gymshark-legacy-short-sleeve-cropped-hoodie-black-ss23
65,Legacy Short Sleeve Cropped Hoodie,Light Grey Marl,38.0,,https://us.shop.gymshark.com/products/gymshark-legacy-short-sleeve-cropped-hoodie-light-grey-marl-ss23
66,Legacy Stringer,Black,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-stringer-black-ss23
67,Legacy Stringer,Aqua Green,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-stringer-aqua-green-ss23
68,Legacy Stringer,Ecru Brown,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-stringer-ecru-brown-ss23
69,Legacy Stringer,Light Grey Marl,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-stringer-light-grey-marl-ss23
70,Legacy Stringer,Aerospace Orange,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-stringer-aerospace-orange-ss23
71,Legacy Stringer,Iceberg Blue,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-stringer-iceberg-blue-ss23
72,Legacy Stringer,White,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-stringer-white-ss23
73,Legacy Drop Arm Hoodie,Black,38.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-hoodie-black-ss23
74,Legacy Drop Arm Hoodie,Light Grey Marl,38.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-hoodie-light-grey-marl-ss23
75,"Apex 7"" Hybrid Shorts",Light Grey,46.0,,https://us.shop.gymshark.com/products/gymshark-apex-7-hybrid-shorts-light-grey-ss23
76,"Apex 7"" Hybrid Shorts",Solstice Orange,46.0,,https://us.shop.gymshark.com/products/gymshark-apex-7-hybrid-shorts-solstice-orange-ss23
77,"Apex 7"" Hybrid Shorts",Ink Teal,46.0,,https://us.shop.gymshark.com/products/gymshark-apex-7-hybrid-shorts-ink-teal-ss23
78,"Apex 5"" Hybrid Shorts",Black,46.0,,https://us.shop.gymshark.com/products/gymshark-apex-5-hybrid-shorts-black-ss23
79,"Apex 5"" Hybrid Shorts",Drift Grey,46.0,,https://us.shop.gymshark.com/products/gymshark-apex-5-hybrid-shorts-drift-grey-ss23
80,"Apex 5"" Hybrid Shorts",Earthy Brown,46.0,,https://us.shop.gymshark.com/products/gymshark-apex-5-hybrid-shorts-earthy-brown-ss23
81,"Apex 5"" Hybrid Shorts",Frost Teal,46.0,,https://us.shop.gymshark.com/products/gymshark-apex-5-hybrid-shorts-frost-teal-ss23
82,Legacy Hoodie,Black,48.0,,https://us.shop.gymshark.com/products/gymshark-legacy-hoodie-black-ss23
83,Legacy Hoodie,Light Grey Marl,48.0,,https://us.shop.gymshark.com/products/gymshark-legacy-hoodie-light-grey-marl-ss23
84,Legacy Drop Arm Tank,Aqua Green,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-tank-aqua-green-ss23
85,Legacy Drop Arm Tank,Light Grey Marl,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-tank-light-grey-marl-ss23
86,Legacy Drop Arm Tank,Iceberg Blue,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-tank-iceberg-blue-ss23
87,Legacy Drop Arm Tank,Aerospace Orange,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-tank-aerospace-orange-ss23
88,Legacy T-Shirt,Aqua Green,26.0,,https://us.shop.gymshark.com/products/gymshark-legacy-t-shirt-aqua-green-ss23
89,Legacy T-Shirt,Aerospace Orange,26.0,,https://us.shop.gymshark.com/products/gymshark-legacy-t-shirt-aerospace-orange-ss23
90,Essential Oversized T-Shirt,Oxidized Green,26.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-t-shirt-oxidized-green-ss23
91,Essential Oversized T-Shirt,Charcoal Grey Marl,26.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-t-shirt-charcoal-grey-marl-ss23
92,Essential Oversized T-Shirt,Terracotta Pink,26.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-t-shirt-terracotta-pink-ss23
93,Crest T-Shirt,Misty Pink,22.0,,https://us.shop.gymshark.com/products/gymshark-crest-t-shirt-misty-pink-ss23
94,Essential Oversized T-Shirt,Icy Blue,26.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-t-shirt-icy-blue-ss23
95,Arrival T-Shirt,Core Olive,22.0,,https://us.shop.gymshark.com/products/gymshark-arrival-t-shirt-core-olive-ss23
96,Arrival Tank,Bright Fuchsia,20.0,,https://us.shop.gymshark.com/products/gymshark-arrival-tank-bright-fuchsia-ss23
97,Crest Sweatshirt,Misty Pink,36.0,,https://us.shop.gymshark.com/products/gymshark-crest-sweatshirt-misty-pink-ss23
98,Crest Hoodie,Misty Pink,40.0,,https://us.shop.gymshark.com/products/gymshark-crest-hoodie-misty-pink-ss23
99,Crest Hoodie,Desert Sage Green,40.0,,https://us.shop.gymshark.com/products/gymshark-crest-hoodie-desert-sage-green-ss23
100,Essential Oversized Joggers,Toasted Brown,44.0,,https://us.shop.gymshark.com/products/gymshark-essential-oversized-joggers-toasted-brown-ss23
